ID,Slide number(s),Type,Authors,Title,Source or venue,Year,DOI / arXiv / ISBN / URL,Original text from slide,Context,Completeness
R001,Buhmann slide 7,Preprint,Not available on slide,"self-supervised video models enable understanding, prediction and planning",arXiv,2025,arXiv:2506.09985,"V-JEPA-2: Meta’s “self-supervised video models enable understanding, prediction and planning” (arXiv:2506.09985)",Supports background on foundation/world models for deep learning.,Complete link
R002,Buhmann slide 9,Website,Anthropic,When AI builds itself / Recursive self-improvement,Anthropic Institute,,https://www.anthropic.com/institute/recursive-self-improvement,"“When AI builds itself“ \ Anthropic, https://www.anthropic.com/institute/recursive-self-improvement",Supports discussion of recursive self-improvement and validation of cost functions.,Complete link
R003,Buhmann slide 11,Website,Matthew S. Smith,AI Agent Designs a RISC-V CPU Core From Scratch,IEEE Spectrum,2026,,"(Matthew S. Smith, IEEE Spectrum, April 22, 2026)",Background example of AI-assisted chip design.,Missing link
R004,Buhmann slide 22,Conference paper,F. Laumer et al.; JMB,Not available on slide,PMLR,2020,,"F. Laumer et al., JMB: PMLR (2020)",Supports personalized 4D heart-model workflow.,Unclear
R005,Buhmann slide 22,Journal paper,S. Weichwald; JMB; C. Matter,Not available on slide,European Heart J.: ACC 10,2021,,"S. Weichwald, ... , JMB, C. Matter: European Heart J.: ACC 10 (2021)",Supports personalized heart-model workflow.,Unclear
R006,Buhmann slide 22,Journal paper,F. Laumer; JMB; C. Templin,Not available on slide,JAMA Cardiology,2022,,"F. Laumer, ... , JMB, C. Templin: JAMA Cardiology (2022)",Supports personalized heart-model workflow.,Unclear
R007,Buhmann slide 22,Journal paper,A. Dubatovka; JMB,Not available on slide,BME Frontiers,2022,,"A. Dubatovka, JMB: BME Frontiers (2022)",Supports personalized heart-model workflow.,Unclear
R008,Buhmann slide 22,Journal paper,F. Laumer; C. Matter; JMB,Not available on slide,Medical Image Analysis,2022,,"F. Laumer, … , C. Matter, JMB: Medical Image Analysis (2022)",Supports personalized heart-model workflow.,Unclear
R009,"Buhmann slides 31, 32",Preprint,S. Yang et al.,Not available on slide,arXiv,2023,arXiv:2303.04129v1 [cs.AI],"S Yang et al, arXiv:2303.04129v1 [cs.AI] 7 Mar 2023",Supports background on foundation models and generative AI.,Partial link
R010,Klemm slide 2,Website,Not available on slide,OpenMP HPC Summer School access form,bit.ly / AMD training,,https://bit.ly/omp-hpc-summer-school,https://bit.ly/omp-hpc-summer-school,Cluster access information for hands-on OpenMP session.,Complete link
